ISO2,ISSUER_COUNTRY,COUNTRY_OF_ISSUE,RISK_COUNTRY,CURRENCY_CODE
"US", "US", "US", "US", "USD",
"GB", "GB", "GB", "GB", "GBP",
"CH", "CH", "CH", "CH", "CHF"
"JP", "JP", "JP", "JP", "JPY"
"CA", "CA", "CA", "CA", "CAD"
"AU", "AU", "AU", "AU", "AUD"
"NZ", "NZ", "NZ", "NZ", "NZD"
"SG", "SG", "SG", "SG", "SGD"
"HK", "HK", "HK", "HK", "HKD"
"CN", "CN", "CN", "CN", "CNY"
"IN", "IN", "IN", "IN", "INR"
"ZA", "ZA", "ZA", "ZA", "ZAR"
"BR", "BR", "BR", "BR", "BRL"
"MX", "MX", "MX", "MX", "MXN"
"SA", "SA", "SA", "SA", "SAR"
"AE", "AE", "AE", "AE", "AED"
"PL", "PL", "PL", "PL", "PLN"
"SE", "SE", "SE", "SE", "SEK"
"NO", "NO", "NO", "NO", "NOK"
"DK", "DK", "DK", "DK", "DKK"
"ZA", "ZA", "ZA", "ZA", "ZAR"
"IL", "IL", "IL", "IL", "ILS"
"TR", "TR", "TR", "TR", "TRY"
"RU", "RU", "RU", "RU", "RUB"
"FR", "FR", "FR", "FR", "EUR"
