asset_class,table,column,source_kind,source,tier,normalizer,notes
bonds,issuance_deal,first_deal_id,system,app-assigned (uuid),x,,
bonds,issuance_deal,master_deal_id,system,app-assigned (uuid),x,,
bonds,issuance_deal,latest_issuance_data_id,system,FK - newest audit row across the deal (18.9),x,,
bonds,issuance_deal,issuer_name,payload,tranche-1 ISSUER_NAME,1,ci_text,
bonds,issuance_deal,issuer_rating,payload,tranche-1 ISSUER_RATING,2,ratings,
bonds,issuance_deal,rating_outlook,derived,outlook rendered beside each agency rating (Stable),2,ci_text,
bonds,issuance_deal,deal_id_datasource,const,"compare.expected_datasource (LLM = email lane, BBG = API/baseline lane)",2,ci_text,D1/D6
bonds,issuance_deal,pbi_deal_status,const,OPEN,2,ci_text,
bonds,issuance_deal,deal_created_on,system,app timestamp,x,,
bonds,issuance_deal,deal_closed_on,system,app timestamp,x,,
bonds,issuance_deal,deal_modified_on,system,app timestamp,x,,
bonds,issuance_deal,total_issuances,derived,expected t_issuance_data row count for the deal,2,numeric,informational until update sequences land (18.13.2)
bonds,issuance_deal,trade_desk,null,,x,,bonds generator has no source for this column
bonds,issuance_deal,registration_type,payload,tranche-1 REGISTRATION_TYPE,1,vocab,
bonds,issuance_deal,regulation_subcategory,null,,2,vocab,bonds generator has no source for this column
bonds,issuance_deal,mandate_text,null,,x,,bonds generator has no source for this column
bonds,issuance_deal,marketing_link,null,,x,,bonds generator has no source for this column
bonds,issuance_deal,risk_country,null,,x,,bonds generator has no source for this column
bonds,issuance_deal,bookrunners,derived,union of tranche BOOKRUNNERS,2,list_set,
bonds,issuance_deal,bnd_bank,payload,tranche-1 BND_BANK,2,ci_text,
bonds,issuance_deal,use_of_proceeds,pool,_POOLS['uop_bond'] -> vocab-mapped code,2,vocab,
bonds,issuance_deal,issuer_sector,null,,x,,bonds generator has no source for this column
bonds,issuance_deal,tranche_settlement_date,payload,tranche-1 TRANCHE_SETTLEMENT_DATE,2,date_day,
bonds,issuance_deal,minimum_piece,null,tranche-1 MINIMUM_PIECE,x,numeric,"app applies its own denomination default, ignoring the email"
bonds,issuance_deal,minimum_increment,null,tranche-1 MINIMUM_INCREMENT,x,numeric,"app applies its own denomination default, ignoring the email"
bonds,issuance_deal,tranche_issuer_business_description,null,,x,,bonds generator has no source for this column
bonds,issuance_deal,deal_closest_match,system,app association field - see 18.13.1 backlog,x,,
bonds,issuance_deal,investor_status_closed_on,system,app timestamp,x,,
bonds,issuance_deal,announcement_dt,email_meta,"email send date, day precision",2,date_day,
bonds,issuance_deal,id_bb_company,null,,x,,bonds generator has no source for this column
bonds,issuance_deal,is_roadshow,payload,IS_ROADSHOW (false),3,bool,
bonds,issuance_deal,long_company_name,null,,x,,bonds generator has no source for this column
bonds,issuance_deal,issuer_country,payload,tranche-1 ISSUER_COUNTRY,2,ci_text,
