"column_name","character_maximum_length"
"issuance_data_id",64
"datasource_id",64
"issuance_data_key",140
"insert_time",NULL
"book_status",64
"read_by",300
"message_url",64
"deal_id",64
"alt_deal_id",64
"deal_created_on",NULL
"deal_modified_on",NULL
"deal_modified_by_id",64
"bookrunners",10485760
"bookrunners_as_supplied",10485760
"bnd_bank",255
"bnd_bank_as_supplied",255
"asset_class_type",64
"bond_class",64
"bond_seniority",300
"security_type",64
"sec_regs_ticker",64
"sec_regs_isin",64
"sec_regs_cusip",64
"sec_regs_figi",64
"sec_144a_ticker",64
"sec_144a_isin",64
"sec_144a_cusip",64
"sec_144a_figi",64
"sec_other_ticker",64
"sec_other_isin",64
"sec_other_cusip",64
"sec_other_figi",64
"currency_code",64
"deal_document",64
"is_reg_s",NULL
"is_144a",NULL
"years_to_maturity",NULL
"is_perpetual",NULL
"trade_date",NULL
"maturity_date",NULL
"day_count",64
"coupon_frequency",64
"coupon",NULL
"coupon_type",64
"coupon_index",64
"spread",NULL
"first_coupon_dt",NULL
"bpl_entity_id",64
"covered_ind",NULL
"issuer_ticker",64
"issuer_equity_ticker",64
"issuer_name",100
"issuer_rating",64
"rating_outlook",64
"issuer_lei",64
"issuer_sector",64
"issuer_country",64
"risk_country",64
"tranche_id",64
"tranche_state",64
"hedge_book_state",64
"tranche_name",120
"tranche_currency",64
"expected_tranche_size",100
"will_not_grow",NULL
"current_tbook_size",NULL
"tranche_settlement_date",NULL
"tranche_settlement_period",64
"tranche_comment",8000
"registration_type",64
"regulation_subcategory",64
"tranche_structure",64
"issue_underwriter",10485760
"is_esg",NULL
"esg_type",500
"esg_comments",1500
"re_offer_price",64
"re_offer_yield",64
"guarantors_rating_agency",64
"guarantors_credit_rating",64
"guarantors_credit_routlook",64
"is_unsecured",NULL
"total_issued_amount",NULL
"tapped_indicator",NULL
"announcement_dt",NULL
"exch_names",64
"benchmark_for_pricing",64
"hedge_ratio",100
"tranche_rating",64
"issue_expected_rating",64
"rating_classification",64
"minimum_piece",NULL
"minimum_increment",NULL
"corpred_classification",64
"call_indicator",NULL
"put_indicator",NULL
"first_call_date",NULL
"category",64
"current_size",NULL
"order_quantity",NULL
"level_type",64
"ipts",120
"current_level",200
"nip",64
"analyst_reco",64
"criteria",64
"is_preliminary_security",NULL
"short_company_name",125
"long_company_name",125
"security_des",64
"market_issue",64
"id_bb_company",64
"calc_typ_des",64
"first_cpn_period_typ",64
"preliminary_security_tenor",64
"issue_dt",NULL
"int_acc_dt",NULL
"nxt_put_dt",NULL
"is_convertible",NULL
"cv_common_ticker",64
"cv_common_ticker_exch",64
"conversion_ratio_at_issue",NULL
"cv_start_dt",NULL
"trade_desk",64
"investor_status_source",64
"is_roadshow",NULL
"use_of_proceeds",64
"mandate_text",10485760
"marketing_link",300
"tenor",64
"launch_price",64
"db_number_of_tranches",NULL
"tranche_pricing_date",NULL
"expected_pricing_date",NULL
"pricing_to_follow",64
"tranche_issuer_business_description",5000
"original_issue_discount",NULL
"yield_to_worst",NULL
"commitment_date",NULL
"call_protection",NULL
"repricing_trpim",NULL
"size_final",64
"final_spread",NULL
"final_floor",NULL
"meeting_date",NULL
"lev_loans_sponsor",64
"floor",NULL
"oid",NULL
"lev_loans_yield",NULL
"cov_lite",NULL
"bond_deal",NULL
"exclude_from_report",NULL
"stw",NULL
"final_oid",NULL
"ytw",NULL
"final_yield",NULL
"issuance_bond_type",64
"product_group",64
"analyst_comment",64
"analyst_ratings",64
"erisa_eligible",NULL
"credit_enhancement",64
"dealer_assumptions",64
"trp_assumptions",64
"prepay_call_assumptions",64
"wal",64
"meeting_details",64
"final_price",NULL
"tranche_status",64
"issuance_security_id",64
"security_status",64
"emerging_mkt_ind",NULL
"total_issued_after_tap",NULL
"nc_till",NULL
"guidance",64
"final_terms",64
"lead_manager",400
"pbi_ipreo_deal_id",64
"record_id",NULL
"timestamp",NULL
