"column_name","character_maximum_length"
"first_deal_id",64
"master_deal_id",64
"latest_issuance_data_id",64
"issuer_name",100
"issuer_rating",64
"rating_outlook",64
"deal_id_datasource",64
"pbi_deal_status",64
"deal_created_on",NULL
"deal_closed_on",NULL
"deal_modified_on",NULL
"total_issuances",NULL
"trade_desk",64
"registration_type",64
"regulation_subcategory",64
"mandate_text",10485760
"marketing_link",300
"risk_country",64
"bookrunners",10485760
"bnd_bank",255
"use_of_proceeds",64
"issuer_sector",64
"tranche_settlement_date",NULL
"minimum_piece",NULL
"minimum_increment",NULL
"tranche_issuer_business_description",5000
"deal_closest_match",64
"investor_status_closed_on",NULL
"announcement_dt",NULL
"id_bb_company",64
"is_roadshow",NULL
"long_company_name",125
"issuer_country",64
"cv_common_ticker",64
"cv_common_ticker_exch",64
"cv_start_dt",NULL
"short_company_name",125
"db_number_of_tranches",NULL
"lev_loans_sponsor",64
"deal_currencies",64
"db_internal_deal_id",64
"db_external_deal_id",64
"pbi_ipreo_deal_id",64
"bbg_deal_id",64
"manual_deal_id",64
"issuer_lei",64
"issuer_ticker",64
"investor_status",64
"blast_status",NULL
"lead_manager",400
"priced",NULL
"record_id",NULL
"timestamp",NULL
