NAME,WEIGHT
BofA Securities,725
"BofA Securities, NY",274
Jefferies LLC,179
J.P. Morgan Securities LLC,160
"Ramirez & Co., Inc",141
Morgan Stanley Co. LLC,114
RBC Capital Markets,103
"Siebert Williams Shank & Co., LLC",77
"Wells Fargo Bank, N.A. Municipal Finance Group",73
"Raymond James & Associates, Inc",65
Goldman Sachs & Co. LLC,56
Barclays Capital Inc,46
Cabrera Capital Mark,30
Barclays Capital,30
J.P. Morgan Sec,27
BA Merrill,26
Goldman Sachs,7
J.P. Morgan,6
"Wells Fargo Securities, LLC",3
