TEXT,WEIGHT
CALLABLE 01/01/2036 @100.0,177
NONCALLABLE,155
CALLABLE 07/01/2036 @100.0,133
CALLABLE 08/01/2036 @100.0,118
CALLABLE 04/01/2036 @100.0,99
CALLABLE 06/01/2036 @100.0,78
CALLABLE 05/15/2036 @100.0,76
CALLABLE 05/01/2036 @100.0,67
CALLABLE 10/01/2036 @100.0,58
CALLABLE 10/01/2034 @100.0,52
"CALLABLE 11/01/2036 @100.0, MAKE-WHOLE CALL: BONDS MATURING ON OR PRIOR TO 11/01/2036 AT THE GREATER OF: (1) ONE HUNDRED PERCENT (100%) OF THE AMORTIZED VALUE OR (2) THE GREATER OF THE (A) APPLICABLE TAX-EXEMPT BOND RATE MINUS 10 BASIS POINTS OR (B) ZERO BASIS POINTS. PLEASE REFER TO THE POC FOR MORE DETAILED INFORMATION. THE BONDS ARE BEING ISSUED AS MULTI-MODAL BONDS IN THE FIXED RATE MODE. THE AUTHORITY MAY CAUSE A MANDATORY TENDER ON ANY OPTIONAL REDEMPTION DATE. THE BONDS WILL REMAIN IN THE FIXED RATE MODE AT LEAST UNTIL THE OPTIONAL REDEMPTION OR MANDATORY TENDER DATE.",52
CALLABLE 12/01/2035 @100.0,46
CALLABLE 09/01/2036 @100.0,45
CALLABLE 11/15/2036 @100.0,41
"CALLABLE 06/01/2036 @100.0, SUBJECT TO OPTIONAL AND MAKE-WHOLE OPTIONAL REDEMPTION AS DESCRIBED ON PAGES 3-4 OF THE PRELIMINARY OFFICIAL STATEMENT.",38
CALLABLE 01/01/2034 @100.0,36
CALLABLE 10/01/2035 @100.0,34
"CALLABLE 03/15/2036 @100.0, BONDS MATURING ON OR BEFORE 03/15/36 ARE SUBJECT TO MAKE-WHOLE CALL AT THE GREATER OF: (1) ONE HUNDRED PERCENT (100%) OF THE AMORTIZED VALUE OR (2) THE GREATER OF THE (A) APPLICABLE TAX-EXEMPT BOND RATE MINUS 10 BASIS POINTS OR (B) ZERO BASIS POINTS. PLEASE REFER TO PAGES 26-27 OF THE POS FOR MORE DETAILED INFORMATION.",31
"CALLABLE 05/15/2034 @100.0, SUBJECT TO SPECIAL, OPTIONAL, AND MANDATORY REDEMPTION AS DESCRIBED ON PART 1-9 TO 1-13 OF THE PRELIMINARY OFFICIAL STATEMENT.",31
CALLABLE 10/01/2033 @100.0,29
"CALLABLE 06/01/2036 @100.0, Other than the Optional Redemption and Mandatory Sinking Fund Redemption described on pages 6-8 of the POS, the Series 2026A Bonds are not otherwise subject to redemption.",28
"CALLABLE 06/01/2034 @100.0, The New Series Bonds are subject to special redemption as further described in the Preliminary Official Statement beginning on Page 14.",27
"CALLABLE 11/01/2032 @100.0, Special Redemption: The 2026 Series F Bonds are subject to special redemption prior to maturity as more fully described on pages 27-29 of the POS.",27
"CALLABLE 08/01/2036 @100.0, MAKE-WHOLE CALL: BONDS MATURING ON OR PRIOR TO 02/1/2036 AT THE GREATER OF: (1) ONE HUNDRED PERCENT (100%) OF THE AMORTIZED VALUE OR (2) THE GREATER OF THE (A) APPLICABLE TAX-EXEMPT BOND RATE MINUS 10 BASIS POINTS OR (B) ZERO BASIS POINTS. PLEASE REFER TO THE POS FOR MORE DETAILED INFORMATION. THE BONDS ARE BEING ISSUED AS MULTI-MODAL BONDS IN THE FIXED RATE MODE. THE CITY MAY CAUSE A MANDATORY TENDER ON ANY OPTIONAL REDEMPTION DATE. THE BONDS WILL REMAIN IN FIXED RATE MODE AT LEAST UNTIL THE OPTIONAL REDEMPTION OR MANDATORY TENDER DATE.",26
