NAME,STATE,SECTOR,PURPOSE,TAX_STATUS,MOODYS,SP,FITCH,SOURCE_OF_REPAYMENT,MONEY_TYPE,ENHANCEMENT,TYPICAL_SIZE
Airport Commission Of The City And County Of San Francisco Second Series Revenue Refunding Bonds Series 2026A (Amt) Series 2026B (Non-Amt-Governmental Purpose),CA,Transportation,AIR,Various,Aa3,AA-,NR,,New Money,,1148305000
"Alameda Unified School District (Alameda County, California)",CA,Education,SCH,Various,Aa2,AA,NR,,New Money,,152160000
"Amador Water Agency Water Revenue Refunding Bonds, Series 2026A Revenue Certificates Of Participation, Series 2026B",CA,,WTR,Tax-Exempt,A1,AA,,,New Money,Assured Guaranty Inc,73500000
Arkansas Development Finance Authority Environmental Improvement Revenue Bonds (United States Steel Corporation Project) Series 2026A (Amt) And Series 2026B (Amt),AR,Economic Development,EIR,AMT,Baa2,BBB,NR,,New Money,,750400000
Bay Area Toll Authority San Francisco Bay Area Second Subordinate Toll Bridge Revenue Bonds,CA,Transportation,BRI,Tax-Exempt,NR,AA-,AA-,,New Money,,396830000
Bay Area Toll Authority San Francisco Bay Area Toll Bridge Revenue Bonds 2026 Series A (Term Rate) 2026 Series F-1,CA,Transportation,TRA,Tax-Exempt,NR,AA,AA,,Refunding,,551175000
Burbank-Pasadena-Glendale Airport Authority 2026 Series A (Non-Amt) 2026 Series B (Amt) 2026 Series C (Taxable),CA,Transportation,AIR,Various,Various,Various,A-,,New Money,Assured Guaranty Inc,360015000
"California Municipal Finance Authority Municipal Certificates, Series 2026-1 Class A-1 Series 2026-1 Class A-2 Series 2026-1 Class B (Subordinate)",CA,Housing,HSG,Tax-Exempt,NR,Various,NR,,New Money,,383576296
"Chicago Transit Authority Second Lien Sales Tax Receipts Revenue Project And Refunding Bonds, Series 2026A Sales Tax Receipts Revenue Refunding Bonds, Series 2026B",IL,General Purposes,SLT,Tax-Exempt,,Various,,,Refunding,,528990000
"City Of Boston, Massachusetts General Obligation Bonds, 2026 Series A General Obligation Refunding Bonds, 2026 Series B",MA,General Purposes,GEN,Tax-Exempt,Aaa,AAA,,,New Money,,609250000
"City Of Brownsville, Texas General Obligation Refunding Bonds Series 2026A (Amt) Series 2026B",TX,General Purposes,GEN,Various,NR,AA+,NR,,Refunding,,24655000
