NAME,WEIGHT
BofA Securities,1697
J.P. Morgan Securities LLC,979
Morgan Stanley Co. LLC,936
"Wells Fargo Bank, N.A. Municipal Finance Group",901
Jefferies LLC,877
RBC Capital Markets,805
"Siebert Williams Shank & Co., LLC",738
"Raymond James & Associates, Inc",734
"Ramirez & Co., Inc",693
Goldman Sachs & Co. LLC,659
Loop Capital Markets,629
Barclays Capital Inc,620
Academy Securities,568
"Blaylock Van, LLC",433
"Stifel, Nicolaus & Company, Inc",399
TD Financial Products LLC,370
"BofA Securities, NY",274
Stern Brothers & Co,274
Oppenheimer & Co,267
Rice Financial Products Company,263
Cabrera Capital Markets LLC,261
Fidelity Capital Markets,258
"Roosevelt & Cross, Inc",242
PNC Capital Markets LLC,222
"Mischler Financial Group, Inc",222
Bancroft Capital,220
"Drexel Hamilton, LLC",174
Great Pacific Securities Inc,173
"Huntington Securities, Inc",168
Piper Sandler & Co,164
Truist Securities Inc,141
BNYMellon Capital Markets,140
FHN Financial Capital Markets,130
Stern Brothers & Co. WMBE,124
Baird,110
"American Veterans Group, PBC SDVOB",91
Mesirow Financial Inc,91
"Raymond James Associates, Inc",88
HilltopSecurities Inc,87
AmeriVet Securities,59
San Blas Securities,58
CINCaP Investment Group,57
First Kentucky Securities Corp,57
"R. Seelaus & Co., LLC WMBE",42
Alamo Capital WMBE,42
Cabrera Capital Mark,30
Barclays Capital,30
PNC Capital Markets,30
RBC Capital Markets Inc,30
Siebert Wlliams,30
"Wells Fargo Bank, N.A",30
Blaylock Van LLC,30
Janney Montgomery Scott LLC,30
Morgan Stanley,30
American Veterans Group,30
Bank of America Merrill Lynch,30
Wedbush Securities Inc,28
"Backstrom McCarley Berry & Co.,LLC",28
J.P. Morgan Sec,27
BA Merrill,26
U.S. Bancorp Investments Inc,16
Goldman Sachs,13
"Wells Fargo Securities, LLC",9
Valdes and Moreno,6
J.P. Morgan,6
Deutsche Bank AG,6
"Crews & Associates, Inc",2
