ASSET_TYPE,PRODUCT_GROUP,INDUSTRY,SUB_INDUSTRY,BUSINESS,PREPAYMENT_TYPE,PRICING_SPEED,POOL_PROFILE,USER_OF_PROCEEDS,ASSET_FAMILY
Auto Loan ABS,ABS,Consumer Finance,Auto Loans,Prime retail auto installment loan receivables,ABS,1.30% ABS,consumer_auto,Purchase auto receivables from the depositor and fund the reserve account,auto
Auto Lease ABS,ABS,Consumer Finance,Auto Leases,Retail automobile lease contracts and residual values,ABS,1.20% ABS,consumer_auto,Purchase auto lease contracts from the depositor and fund the reserve account,auto
Credit Card ABS,ABS,Consumer Finance,Credit Cards,Revolving general purpose credit card receivables,MPR,22% MPR,consumer_card,Purchase credit card receivables from the depositor and fund the reserve account,card
Federal Student Loan (FFELP) ABS,ABS,Consumer Finance,Student Loans,Government-guaranteed FFELP student loan receivables,CPR,6% CPR,consumer_card,Purchase FFELP student loan receivables from the depositor and fund the reserve account,student
Private Student Loan ABS,ABS,Consumer Finance,Student Loans,Cosigned private student loan receivables,CPR,8% CPR,consumer_card,Purchase private student loan receivables from the depositor and fund the reserve account,student
Unsecured Consumer Loan ABS,ABS,Consumer Finance,Unsecured Consumer Loans,Fixed-rate unsecured consumer instalment loans,CPR,14% CPR,consumer_card,Purchase consumer loan receivables from the depositor and fund the reserve account,consumer
Point-of-Sale Financing ABS,ABS,Consumer Finance,Point-of-Sale Credit,Installment point-of-sale credit receivables,MPR,26% MPR,consumer_card,Purchase point-of-sale receivables from the depositor and fund the reserve account,card
Marketplace Loan ABS,ABS,Consumer Finance,Marketplace Lending,Platform-originated unsecured consumer instalment loans,CPR,16% CPR,consumer_card,Purchase marketplace loan receivables from the depositor and fund the reserve account,consumer
Buy Now Pay Later (BNPL) ABS,ABS,Consumer Finance,Buy Now Pay Later,Short-duration instalment buy-now-pay-later receivables,MPR,45% MPR,consumer_card,Purchase BNPL receivables from the depositor and fund the reserve account,card
Home Equity Line of Credit (HELOC) ABS,ABS,Mortgage Finance,Home Equity,Revolving second-lien home equity lines of credit,CPR,18% CPR,mortgage,Purchase home equity lines of credit from the depositor and fund the reserve account,mortgage
Manufactured Housing ABS,ABS,Mortgage Finance,Manufactured Housing,Chattel and land-home manufactured housing loans,CPR,6% CPR,mortgage,Purchase manufactured housing loans from the depositor and fund the reserve account,mortgage
Single-Family Rental (SFR) ABS,ABS,Mortgage Finance,Single-Family Rental,Loans secured by portfolios of single-family rental homes,None,0% CPR,commercial,Purchase single-family rental loans from the depositor and fund the reserve account,mortgage
Recreational Vehicle (RV) ABS,ABS,Consumer Finance,Recreational Vehicles,Retail recreational vehicle installment contracts,ABS,1.00% ABS,consumer_auto,Purchase recreational vehicle receivables from the depositor and fund the reserve account,auto
Marine (Boat) ABS,ABS,Consumer Finance,Marine Lending,Retail marine installment loan receivables,ABS,0.90% ABS,consumer_auto,Purchase marine loan receivables from the depositor and fund the reserve account,auto
Powersports ABS,ABS,Consumer Finance,Powersports,Retail powersports installment contracts,ABS,1.40% ABS,consumer_auto,Purchase powersports receivables from the depositor and fund the reserve account,auto
Motorcycle ABS,ABS,Consumer Finance,Motorcycle Lending,Retail motorcycle installment loan receivables,ABS,1.35% ABS,consumer_auto,Purchase motorcycle receivables from the depositor and fund the reserve account,auto
Device Payment Plan ABS,ABS,Consumer Finance,Device Financing,Handset and device instalment payment plan receivables,ABS,1.50% ABS,consumer_card,Purchase device payment plan receivables from the depositor and fund the reserve account,card
Equipment Lease ABS,ABS,Commercial Finance,Equipment Leasing,Small-ticket commercial equipment leases and loans,ABS,1.10% ABS,commercial,Purchase equipment lease receivables from the depositor and fund the reserve account,equipment
Fleet Lease ABS,ABS,Commercial Finance,Fleet Leasing,Commercial fleet vehicle leases and service contracts,ABS,1.10% ABS,commercial,Purchase fleet lease receivables from the depositor and fund the reserve account,auto
Dealer Floorplan ABS,ABS,Commercial Finance,Dealer Floorplan,Revolving wholesale inventory financing lines to franchised dealers,MPR,28% MPR,commercial,Purchase dealer floorplan receivables from the depositor and fund the reserve account,auto
Small Business Loan ABS,ABS,Commercial Finance,Small Business Lending,Secured small business term loan receivables,CPR,10% CPR,commercial,Purchase small business loan receivables from the depositor and fund the reserve account,equipment
Franchise Loan ABS,ABS,Commercial Finance,Franchise Lending,Secured loans to multi-unit franchise operators,CPR,6% CPR,commercial,Purchase franchise loan receivables from the depositor and fund the reserve account,equipment
Trade Receivables ABS,ABS,Commercial Finance,Trade Receivables,Revolving short-dated corporate trade receivables,MPR,80% MPR,commercial,Purchase trade receivables from the depositor and fund the reserve account,equipment
Insurance Premium Finance ABS,ABS,Specialty Finance,Premium Finance,Commercial insurance premium finance receivables,MPR,35% MPR,commercial,Purchase premium finance receivables from the depositor and fund the reserve account,equipment
Servicer Advance ABS,ABS,Mortgage Finance,Servicer Advances,"Reimbursable principal, interest and escrow servicer advances",MPR,40% MPR,esoteric,Purchase servicer advance receivables from the depositor and fund the reserve account,mortgage
Mortgage Servicing Rights (MSR) ABS,ABS,Mortgage Finance,Servicing Rights,Advances against mortgage servicing rights cashflows,CPR,10% CPR,esoteric,Purchase mortgage servicing rights from the depositor and fund the reserve account,mortgage
Aircraft Lease ABS,ABS,Transportation,Aircraft Leasing,Portfolio of commercial aircraft operating leases,None,0% CPR,esoteric,Purchase aircraft and lease receivables from the depositor and fund the reserve account,esoteric
Shipping Container ABS,ABS,Transportation,Container Leasing,Portfolio of marine shipping container leases,None,0% CPR,esoteric,Purchase container lease receivables from the depositor and fund the reserve account,esoteric
Railcar Lease ABS,ABS,Transportation,Railcar Leasing,Portfolio of railcar operating leases,None,0% CPR,esoteric,Purchase railcar lease receivables from the depositor and fund the reserve account,esoteric
Solar Loan ABS,ABS,Renewable Energy,Residential Solar,Residential solar equipment loan receivables,CPR,6% CPR,esoteric,Purchase solar loan receivables from the depositor and fund the reserve account,esoteric
Solar Power Purchase Agreement (PPA) ABS,ABS,Renewable Energy,Solar PPAs,Residential solar power purchase agreements and leases,CPR,5% CPR,esoteric,Purchase solar power purchase agreements from the depositor and fund the reserve account,esoteric
Property Assessed Clean Energy (PACE) ABS,ABS,Renewable Energy,PACE Assessments,Property assessed clean energy tax assessments,CPR,4% CPR,esoteric,Purchase PACE assessments from the depositor and fund the reserve account,esoteric
Timeshare ABS,ABS,Consumer Finance,Timeshare,Vacation ownership interval loan receivables,CPR,16% CPR,esoteric,Purchase timeshare loan receivables from the depositor and fund the reserve account,consumer
Music Royalty ABS,ABS,Media and Entertainment,Music Royalties,Catalogue music publishing and recorded royalties,None,0% CPR,esoteric,Purchase music royalty streams from the depositor and fund the reserve account,esoteric
Film and Media Royalty ABS,ABS,Media and Entertainment,Film Libraries,Film and television library distribution revenues,None,0% CPR,esoteric,Purchase film library revenues from the depositor and fund the reserve account,esoteric
Pharmaceutical Royalty ABS,ABS,Healthcare,Drug Royalties,Contracted pharmaceutical product royalty streams,None,0% CPR,esoteric,Purchase pharmaceutical royalty streams from the depositor and fund the reserve account,esoteric
Whole Business Securitization (WBS),ABS,Specialty Finance,Whole Business,"Franchise royalty, supply chain and IP cashflows of an operating business",None,0% CPR,esoteric,Purchase franchise and royalty cashflows from the depositor and fund the reserve account,esoteric
Cell Tower ABS,ABS,Digital Infrastructure,Wireless Towers,Wireless tower site lease revenues,None,0% CPR,commercial,Purchase tower site lease revenues from the depositor and fund the reserve account,commercial
Data Center ABS,ABS,Digital Infrastructure,Data Centers,Long-term data centre colocation and hyperscale leases,None,0% CPR,commercial,Purchase data centre lease revenues from the depositor and fund the reserve account,commercial
Fiber Network ABS,ABS,Digital Infrastructure,Fiber Networks,Contracted fibre network access and dark fibre revenues,None,0% CPR,commercial,Purchase fibre network revenues from the depositor and fund the reserve account,commercial
Toll Road ABS,ABS,Infrastructure,Toll Roads,Toll road concession revenues,None,0% CPR,commercial,Purchase toll road revenues from the depositor and fund the reserve account,commercial
Infrastructure Revenue ABS,ABS,Infrastructure,Infrastructure Revenues,Availability and usage-based infrastructure revenues,None,0% CPR,commercial,Purchase infrastructure revenues from the depositor and fund the reserve account,commercial
Tobacco Settlement ABS,ABS,Public Finance,Tobacco Settlements,Master Settlement Agreement tobacco payment streams,None,0% CPR,esoteric,Purchase tobacco settlement revenues from the depositor and fund the reserve account,commercial
Structured Settlement ABS,ABS,Specialty Finance,Structured Settlements,Purchased structured settlement payment streams,None,0% CPR,esoteric,Purchase structured settlement receivables from the depositor and fund the reserve account,consumer
Litigation Finance ABS,ABS,Specialty Finance,Litigation Finance,Advances against contingent legal claim recoveries,None,0% CPR,esoteric,Purchase litigation finance advances from the depositor and fund the reserve account,consumer
Life Settlement ABS,ABS,Specialty Finance,Life Settlements,Purchased life insurance policies and premium reserves,None,0% CPR,esoteric,Purchase life settlement policies from the depositor and fund the reserve account,consumer
Utility Tariff (Rate Reduction) ABS,ABS,Utilities,Securitized Utility Tariffs,Statutorily authorised utility tariff charges,None,0% CPR,commercial,Purchase utility tariff property from the depositor and fund the reserve account,commercial
Recurring Revenue (SaaS) ABS,ABS,Specialty Finance,Recurring Revenue Lending,Advances against contracted software subscription revenue,CPR,12% CPR,commercial,Purchase recurring revenue contracts from the depositor and fund the reserve account,equipment
Collateralized Fund Obligation (CFO),ABS,Structured Credit,Fund Interests,Diversified pool of private fund limited partnership interests,None,0% CPR,corporate_credit,Purchase private fund interests from the depositor and fund the reserve account,corporate_credit
Residential Mortgage-Backed Securities (RMBS),RMBS,Mortgage Finance,Residential Mortgages,First-lien residential mortgage loans,CPR,8% CPR,mortgage,Purchase residential mortgage loans from the depositor and fund the reserve account,mortgage
Commercial Mortgage-Backed Securities (CMBS),CMBS,Commercial Real Estate,Commercial Mortgages,First-lien commercial mortgage loans on stabilised properties,None,0% CPR,commercial,Purchase commercial mortgage loans from the depositor and fund the reserve account,commercial
Collateralized Debt Obligation (CDO),CDO,Structured Credit,Structured Credit,Diversified pool of structured credit obligations,CPR,15% CPR,corporate_credit,Purchase structured credit obligations from the depositor and fund the reserve account,corporate_credit
Collateralized Loan Obligation (CLO),CLO,Structured Credit,Broadly Syndicated Loans,Diversified pool of first-lien broadly syndicated corporate loans,CPR,20% CPR,corporate_credit,Purchase broadly syndicated corporate loans from the depositor and fund the reserve account,corporate_credit
Collateralized Bond Obligation (CBO),CBO,Structured Credit,Corporate Bonds,Diversified pool of corporate bonds,CPR,12% CPR,corporate_credit,Purchase corporate bond collateral from the depositor and fund the reserve account,corporate_credit
Non-Performing Loan (NPL) Securitization,ABS,Mortgage Finance,Non-Performing Loans,Seasoned non-performing residential mortgage loans,CPR,12% CPR,mortgage,Purchase non-performing mortgage loans from the depositor and fund the reserve account,mortgage
Re-Performing Loan (RPL) Securitization,ABS,Mortgage Finance,Re-Performing Loans,Modified re-performing residential mortgage loans,CPR,10% CPR,mortgage,Purchase re-performing mortgage loans from the depositor and fund the reserve account,mortgage
