NAME,TICKER
J.P. Morgan Securities LLC,JPM
"BofA Securities, Inc.",BAC
Citigroup Global Markets Inc.,C
"Wells Fargo Securities, LLC",WFC
Goldman Sachs & Co. LLC,GS
Morgan Stanley & Co. LLC,MS
Barclays Capital Inc.,BARC
Deutsche Bank Securities Inc.,DB
Credit Agricole Securities (USA) Inc.,ACA
BNP Paribas Securities Corp.,BNP
"RBC Capital Markets, LLC",RY
TD Securities (USA) LLC,TD
BMO Capital Markets Corp.,BMO
Scotia Capital (USA) Inc.,BNS
CIBC World Markets Corp.,CM
"SMBC Nikko Securities America, Inc.",SMFG
Mizuho Securities USA LLC,MFG
MUFG Securities Americas Inc.,MUFG
"Nomura Securities International, Inc.",NMR
"SG Americas Securities, LLC",GLE
Natixis Securities Americas LLC,KN
Santander US Capital Markets LLC,SAN
UBS Securities LLC,UBS
HSBC Securities (USA) Inc.,HSBC
Jefferies LLC,JEF
"Guggenheim Securities, LLC",GUGG
"Stifel, Nicolaus & Company, Incorporated",SF
"Raymond James & Associates, Inc.",RJF
Piper Sandler & Co.,PIPR
KeyBanc Capital Markets Inc.,KEY
"Truist Securities, Inc.",TFC
"Fifth Third Securities, Inc.",FITB
Regions Securities LLC,RF
PNC Capital Markets LLC,PNC
"US Bancorp Investments, Inc.",USB
"Citizens JMP Securities, LLC",CFG
"Huntington Securities, Inc.",HBAN
"Comerica Securities, Inc.",CMA
"BNY Mellon Capital Markets, LLC",BK
"Academy Securities, Inc.",ACAD
"Siebert Williams Shank & Co., LLC",SWS
Loop Capital Markets LLC,LOOP
"R. Seelaus & Co., LLC",SEEL
"Ramirez & Co., Inc.",RAMZ
"Blaylock Van, LLC",BLAY
"CastleOak Securities, L.P.",COAK
"Mischler Financial Group, Inc.",MISC
Great Pacific Securities,GPAC
Amherst Pierpont Securities LLC,AMPS
Cantor Fitzgerald & Co.,CANT
StoneX Financial Inc.,SNEX
Oppenheimer & Co. Inc.,OPY
"B. Riley Securities, Inc.",RILY
"Brean Capital, LLC",BREA
"Performance Trust Capital Partners, LLC",PTCP
"Multi-Bank Securities, Inc.",MBSI
Wedbush Securities Inc.,WEDB
Janney Montgomery Scott LLC,JNNY
Lloyds Securities Inc.,LLOY
NatWest Markets Securities Inc.,NWG
